launch_date,return_date,launch_date_clean,return_date_clean,launch_date2,return_date2,neg,launch_date_rev,return_date_rev
"June 17, 1985, 11:33:00 UTC","June 24, 1985, 13:11:52 UTC","June 17, 1985, 11:33:00","June 24, 1985, 13:11:52",487855980,488466712,FALSE,1985-06-17T11:33:00Z,1985-06-24T13:11:52Z
"June 17, 1985, 11:33:00 UTC","June 24, 1985, 13:11:52 UTC","June 17, 1985, 11:33:00","June 24, 1985, 13:11:52",487855980,488466712,FALSE,1985-06-17T11:33:00Z,1985-06-24T13:11:52Z
"June 17, 1985, 11:33:00 UTC","June 24, 1985, 13:11:52 UTC","June 17, 1985, 11:33:00","June 24, 1985, 13:11:52",487855980,488466712,FALSE,1985-06-17T11:33:00Z,1985-06-24T13:11:52Z
"26 May 1980, 18:20:39 UTC","June 3, 1980, 15:06:23 UTC","26 May 1980, 18:20:39","June 3, 1980, 15:06:23",328213239,328892783,FALSE,1980-05-26T18:20:39Z,1980-06-03T15:06:23Z
"26 May 1980, 18:20:39 UTC","June 3, 1980, 15:06:23 UTC","26 May 1980, 18:20:39","June 3, 1980, 15:06:23",328213239,328892783,FALSE,1980-05-26T18:20:39Z,1980-06-03T15:06:23Z
"June 3, 1966, 13:39:33 UTC","June 6, 1966, 14:00:23 UTC","June 3, 1966, 13:39:33","June 6, 1966, 14:00:23",-112962027,-112701577,FALSE,1966-06-03T13:39:33Z,1966-06-06T14:00:23Z
"June 3, 1966, 13:39:33 UTC","June 6, 1966, 14:00:23 UTC","June 3, 1966, 13:39:33","June 6, 1966, 14:00:23",-112962027,-112701577,FALSE,1966-06-03T13:39:33Z,1966-06-06T14:00:23Z
"June 3, 1965, 15:15:59 UTC","June 7, 1965, 17:12:11 UTC","June 3, 1965, 15:15:59","June 7, 1965, 17:12:11",-144492241,-144139669,FALSE,1965-06-03T15:15:59Z,1965-06-07T17:12:11Z
"June 3, 1965, 15:15:59 UTC","June 7, 1965, 17:12:11 UTC","June 3, 1965, 15:15:59","June 7, 1965, 17:12:11",-144492241,-144139669,FALSE,1965-06-03T15:15:59Z,1965-06-07T17:12:11Z
"June 5, 1980, 14:19:30 UTC","June 9, 1980, 12:39:00 UTC","June 5, 1980, 14:19:30","June 9, 1980, 12:39:00",329062770,329402340,FALSE,1980-06-05T14:19:30Z,1980-06-09T12:39:00Z
