start_date,end_date
"12 September 2017,
"18 March 2022, 15:55:18 UTC","29 September 2022, 10:57 UTC"
"25 March 2014, 21:17:23 UTC","11 September 2014, 02:23 UTC"
"18 May 1991, 12:50:28 UTC","10 October 1991, 04:12:18 UTC"
"3 July 1974, 18:51:08 UTC","19 July 1974, 12:21:36 UTC"
"19 April 2001, 18:40:42 UTC","1 May 2001, 16:11:56 UTC"
"7 October 2002, 19:45:51 UTC","18 October 2002, 15:44:35 UTC"
"23 July 1999, 04:31:00 UTC","28 July 1999, 03:20:35 UTC"
"8 June 2024, 15:26:30 UTC","8 June 2024, 15:41 UTC["
"8 February 1984, 12:07:26 UTC","2 October 1984, 10:57:00 UTC"
"2 October 1991, 05:59:38 UTC","10 October 1991, 04:12:18 UTC"
"6 June 2018, 11:12:41 UTC","20 December 2018, 05:02 UTC"
"July 27, 1992, 06:08:42 UTC","February 1, 1993, 03:49:57 UTC"
"September 3, 1995, 09:00:23 UTC","February 29, 1996, 10:42:08 UTC"
"August 13, 1998, 09:43:11 UTC","August 28, 1999, 00:34:20 UTC"
"March 13, 1989, 14:57:00 UTC","March 18, 1989, 14:35:50 UTC"
"June 5, 1991, 13:24:51 UTC","June 14, 1991, 15:39:11 UTC"
"October 18, 1989, 16:53:40 UTC","October 23, 1989, 16:33:00 UTC"
"June 25, 1992, 16:12:23 UTC","July 9, 1992, 11:42:27 UTC"
"June 27, 1995, 19:32:19 UTC","July 7, 1995, 14:55:28 UTC"
"August 2, 1991, 15:02:00 UTC","August 11, 1991, 12:23:25 UTC"
"October 22, 1992, 17:09:39 UTC","November 1, 1992, 14:05:53 UTC"
"September 30, 1994, 11:16:01 UTC","October 11, 1994, 17:02:09 UTC"
"January 12, 1997, 09:27:23 UTC","January 22, 1997, 14:23:51 UTC"
"11 February 1990, 06:16:00 UTC","9 August 1990, 07:33:57 UTC"
"22 May 2021, 15:26 UTC","22 May 2021, 15:26 UTC"
"21 May 2023, 21:37:09 UTC","31 May 2023, 03:04 UTC"
"March 26, 2009, 11:49:18 UTC","October 11, 2009, 04:32 UTC"
"4 March 2024, 03:53:38 UTC","25 October 2024, 07:29:02 UTC"
"February 24, 2011, 21:53:24 UTC","March 9, 2011, 16:58:14 UTC"
"11 November 2021, 02:03:31 UTC","6 May 2022, 04:43:23 UTC"
"10 August 2001, 21:10:14 UTC","22 August 2001, 18:23 UTC"
"11 January 1996, 09:41:00.072 UTC","20 January 1996, 07:41:41 UTC"
"27 May 1999, 10:49:42 UTC","6 June 1999, 06:02:43 UTC"
"July 29, 1985, 21:00:00 UTC","August 6, 1985, 19:45:26 UTC"
"August 13, 1998, 09:43:11 UTC","August 25, 1998, 05:24:44 UTC"
"April 28, 2001, 07:37:20 UTC","May 6, 2001, 05:41:28 UTC"
"June 17, 1985, 11:33:00 UTC","June 24, 1985, 13:11:52 UTC"
"8 September 2023, 14:34 UTC","8 September 2023, 15:36 UTC"
"November 14, 1969, 16:22:00 UTC","November 24, 1969, 20:58:24 UTC"
28 Jul 1973 11:10 UTC,"September 25, 1973, 22:19:51 UTC"
"6 October 2023, 15:28 UTC","6 October 2023, 16:23 UTC"
"30 May 2020, 19:22:45 UTC","2 August 2020, 18:48:06 UTC"
"March 11, 2008, 06:28:14 UTC","March 27, 2008, 00:40:41 UTC"
"February 8, 2010, 09:14 UTC","February 22, 2010, 03:22:10 UTC"
"February 20, 1999, 04:18:01 UTC","February 28, 1999, 02:14:30 UTC"
"18 March 1965, 07:00:00 UTC","19 March 1965, 09:02:17 UTC"
